RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  30    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  122  169     0     0  con    0  1.0E+00  3.5E-01  4.423E-02  9.213E-02
  123  170     0     0  con    0  1.0E+00  9.9E-02  5.139E-02  9.211E-02
  124  171     0     0  con    0  1.0E+00  4.8E-01  3.310E-02  9.209E-02
  125  172     0     0  con    0  1.0E+00  2.0E-01  7.750E-02  9.207E-02
  126  173     0     0  con    0  1.0E+00  1.8E-01  3.412E-02  9.204E-02
  127  174     0     0  con    0  1.0E+00  3.1E-01  9.056E-02  9.201E-02
  128  175     0     0  con    0  1.0E+00  5.0E-02  1.357E-02  9.199E-02
  129  176     0     0  con    0  1.0E+00  1.6E-01  2.029E-02  9.197E-02
  130  177     0     0  con    0  1.0E+00  3.7E-01  6.100E-02  9.197E-02
  131  178     0     0  con    0  1.0E+00  6.9E-02  1.873E-02  9.196E-02
  132  179     0     0  con    0  1.0E+00  8.1E-02  6.248E-03  9.196E-02
  133  180     0     0  con    0  1.0E+00  1.9E-01  7.836E-03  9.195E-02
  134  184     0     0  con    3  3.3E+00  1.2E+00  2.073E-01  9.174E-02
  135  187     0     0  con    2  5.3E-03  4.3E-02  2.198E-01  9.174E-02
  136  188     0     0  con    0  1.0E+00  1.7E-01  1.867E-01  9.171E-02
  137  189     0     0  con    0  1.0E+00  2.2E-01  1.305E-01  9.155E-02
  138  190     0     0  con    0  1.0E+00  7.8E-01  1.386E-01  9.141E-02
  139  191     0     0  con    0  1.0E+00  3.2E-01  3.162E-02  9.134E-02
  140  192     0     0  con    0  1.0E+00  1.6E-01  7.734E-02  9.129E-02
  141  193     0     0  con    0  1.0E+00  9.5E-02  3.517E-02  9.126E-02
  142  195     0     0  con    1  5.1E-01  1.5E-01  6.930E-02  9.125E-02
  143  196     0     0  con    0  1.0E+00  4.1E-01  2.190E-02  9.123E-02
  144  197     0     0  con    0  1.0E+00  5.2E-02  3.973E-02  9.122E-02
  145  198     0     0  con    0  1.0E+00  2.0E-01  6.565E-02  9.119E-02
  146  199     0     0  con    0  1.0E+00  2.0E-01  6.453E-02  9.117E-02
  147  200     0     0  con    0  1.0E+00  3.5E-01  4.881E-02  9.115E-02

STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT        

 Total User time 9.375E-02 seconds.

